Índice de percepción de atención y calidad del servidor público.;;;;;;;;
;;;;;;;;
Periodo ;Desagregación;"Estimación
";"Error estándar 
";"Límite inferior
";"Límite superior 
";"Coeficiente de variación
";Numerador muestral;Denominador muestral 
2018;Nacional ;6,90;0,049;6,80;6,99;0,72;47.824;6.887
;Urbana ;6,85;0,059;6,73;6,96;0,87;30.273;4.409
;Rural ;7,04;0,088;6,86;7,21;1,25;17.551;2.478
2019;Nacional ;6,76;0,033;6,69;6,82;0,49;47.907;7.079
;Urbana ;6,65;0,040;6,58;6,73;0,60;29.421;4.419
;Rural ;7,01;0,058;6,89;7,12;0,83;18.486;2.660
2020;Nacional ;6,95;0,052;6,84;7,05;0,75;49.153;6.904
;Urbana ;6,75;0,074;6,61;6,90;1,09;17.569;2.580
;Rural ;7,35;0,042;7,26;7,43;0,57;31.583;4.324
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
