;;;;;;;;;;
;Porcentaje de hogares con percepción positiva en relación a los servicios de salud pública;;;;;;;;;
;;;;;;;;;;
;Periodo ;Desagregación;"Estimación
(Porcentaje)";"Error estándar 
";"Límite inferior
(Porcentaje)";"Límite superior 
(Porcentaje)";"Coeficiente de variación
(Porcentaje)";Numerador muestral;Denominador muestral ;
;2016;Nacional ;40,21;0,015;37,21;43,22;3,81;1.026;2.352;
;;Urbana ;38,61;0,020;34,77;42,46;5,07;564;1.345;
;;Rural ;43,66;0,023;39,18;48,14;5,23;462;1.007;
;2017;Nacional ;40,99;0,007;39,64;42,34;1,68;7.312;16.636;
;;Urbana ;40,84;0,009;39,15;42,53;2,11;4.368;10.064;
;;Rural ;41,31;0,011;39,12;43,49;2,70;2.944;6.572;
;2018;Nacional ;40,80;0,010;38,90;42,71;2,38;3.136;7.453;
;;Urbana ;39,32;0,012;36,94;41,69;3,08;1.773;4.337;
;;Rural ;43,84;0,016;40,71;46,98;3,65;1.363;3.116;
;2019;Nacional ;38,83;0,007;37,47;40,19;1,78;2.740;6.901;
;;Urbana ;36,59;0,009;34,87;38,31;2,39;1.534;4.139;
;;Rural ;43,50;0,011;41,36;45,64;2,51;1.206;2.762;
;2020;Nacional ;44,46;0,012;42,03;46,90;2,79;1.240;2.658;
;;Urbana ;42,83;0,017;39,40;46,27;4,09;410;945;
;;Rural ;47,54;0,014;44,85;50,23;2,88;830;1.713;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
