;;;;;;;;;;;;;;;;;
;Proporción de personas que utilizan teléfonos móviles (activado);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Periodo ;Desagregación;"Estimación
(Porcentaje)";"Error estándar 
";"Límite inferior
(Porcentaje)";"Límite superior 
(Porcentaje)";"Coeficiente de variación
(Porcentaje)";Numerador muestral;Denominador muestral ;;;;;;;;
;2008;Nacional ;37,71;0,005;36,77;38,65;1,27;24.199;71.849;;;;;;;;
;;Urbana ;45,58;0,007;44,28;46,89;1,46;17.202;39.574;;;;;;;;
;;Rural ;22,02;0,005;21,03;23,00;2,27;6.997;32.275;;;;;;;;
;;Hombre ;40,28;0,005;39,25;41,32;1,31;12.820;35.234;;;;;;;;
;;Mujer ;35,24;0,005;34,19;36,29;1,52;11.379;36.615;;;;;;;;
;2009;Nacional ;40,24;0,005;39,22;41,25;1,29;26.201;72.366;;;;;;;;
;;Urbana ;47,95;0,007;46,59;49,31;1,45;17.984;39.688;;;;;;;;
;;Rural ;24,93;0,005;23,98;25,87;1,93;8.217;32.678;;;;;;;;
;;Hombre ;42,94;0,006;41,84;44,04;1,31;13.933;35.753;;;;;;;;
;;Mujer ;37,62;0,006;36,51;38,73;1,50;12.268;36.613;;;;;;;;
;2010;Nacional ;42,83;0,005;41,82;43,83;1,19;29.286;76.160;;;;;;;;
;;Urbana ;50,95;0,007;49,62;52,29;1,34;20.007;41.281;;;;;;;;
;;Rural ;26,73;0,005;25,68;27,78;2,01;9.279;34.879;;;;;;;;
;;Hombre ;45,07;0,006;43,98;46,17;1,24;15.507;37.810;;;;;;;;
;;Mujer ;40,65;0,006;39,55;41,74;1,38;13.779;38.350;;;;;;;;
;2011;Nacional ;46,65;0,005;45,59;47,71;1,16;28.535;64.092;;;;;;;;
;;Urbana ;53,99;0,007;52,65;55,33;1,27;19.491;36.751;;;;;;;;
;;Rural ;32,11;0,006;30,84;33,38;2,02;9.044;27.341;;;;;;;;
;;Hombre ;49,08;0,006;48,00;50,17;1,13;14.845;31.490;;;;;;;;
;;Mujer ;44,33;0,006;43,08;45,58;1,44;13.690;32.602;;;;;;;;
;2012;Nacional ;50,41;0,005;49,39;51,44;1,04;32.152;68.113;;;;;;;;
;;Urbana ;57,58;0,007;56,23;58,94;1,20;21.252;38.330;;;;;;;;
;;Rural ;36,23;0,006;35,07;37,38;1,63;10.900;29.783;;;;;;;;
;;Hombre ;52,59;0,006;51,49;53,69;1,06;16.646;33.510;;;;;;;;
;;Mujer ;48,33;0,006;47,16;49,50;1,24;15.506;34.603;;;;;;;;
;2013;Nacional ;51,30;0,004;50,50;52,10;0,80;35.626;74.415;;;;;;;;
;;Urbana ;57,12;0,005;56,06;58,17;0,94;22.652;40.442;;;;;;;;
;;Rural ;39,16;0,006;37,99;40,33;1,52;12.974;33.973;;;;;;;;
;;Hombre ;52,42;0,005;51,51;53,34;0,89;18.365;36.992;;;;;;;;
;;Mujer ;50,20;0,005;49,23;51,16;0,98;17.261;37.423;;;;;;;;
;2014;Nacional ;53,94;0,004;53,25;54,64;0,66;53.602;106.033;;;;;;;;
;;Urbana ;58,64;0,004;57,78;59,50;0,75;36.795;62.681;;;;;;;;
;;Rural ;43,94;0,006;42,80;45,09;1,33;16.807;43.352;;;;;;;;
;;Hombre ;54,92;0,004;54,09;55,74;0,76;27.274;52.303;;;;;;;;
;;Mujer ;53,00;0,004;52,15;53,85;0,82;26.328;53.730;;;;;;;;
;2015;Nacional ;55,43;0,003;54,80;56,07;0,58;54.062;102.553;;;;;;;;
;;Urbana ;60,52;0,004;59,74;61,29;0,65;36.838;60.900;;;;;;;;
;;Rural ;44,52;0,005;43,52;45,52;1,15;17.224;41.653;;;;;;;;
;;Hombre ;56,50;0,004;55,74;57,25;0,68;27.267;50.329;;;;;;;;
;;Mujer ;54,41;0,004;53,63;55,19;0,73;26.795;52.224;;;;;;;;
;2016;Nacional ;56,12;0,004;55,40;56,84;0,66;55.726;104.770;;;;;;;;
;;Urbana ;61,52;0,004;60,66;62,38;0,71;38.408;62.392;;;;;;;;
;;Rural ;44,49;0,006;43,26;45,71;1,41;17.318;42.378;;;;;;;;
;;Hombre ;56,96;0,004;56,08;57,83;0,79;28.011;51.362;;;;;;;;
;;Mujer ;55,31;0,004;54,47;56,15;0,77;27.715;53.408;;;;;;;;
;2017;Nacional ;58,51;0,004;57,75;59,28;0,67;57.271;101.785;;;;;;;;
;;Urbana ;64,02;0,004;63,28;64,77;0,60;39.123;61.069;;;;;;;;
;;Rural ;46,46;0,008;44,96;47,96;1,64;18.148;40.716;;;;;;;;
;;Hombre ;59,08;0,004;58,20;59,96;0,76;28.808;49.918;;;;;;;;
;;Mujer ;57,96;0,005;57,04;58,89;0,81;28.463;51.867;;;;;;;;
;2018;Nacional ;59,01;0,003;58,33;59,69;0,59;48.604;86.882;;;;;;;;
;;Urbana ;65,17;0,004;64,38;65,95;0,61;33.016;51.384;;;;;;;;
;;Rural ;45,96;0,006;44,76;47,16;1,33;15.588;35.498;;;;;;;;
;;Hombre ;60,41;0,004;59,57;61,25;0,71;24.712;42.839;;;;;;;;
;;Mujer ;57,64;0,004;56,79;58,50;0,76;23.892;44.043;;;;;;;;
;2019;Nacional ;59,91;0,004;59,18;60,63;0,62;23.366;38.115;;;;;;;;
;;Urbana ;65,61;0,004;64,75;66,48;0,67;15.908;23.567;;;;;;;;
;;Rural ;47,56;0,007;46,26;48,85;1,39;7.458;14.548;;;;;;;;
;;Hombre ;61,67;0,004;60,82;62,52;0,70;11.735;18.687;;;;;;;;
;;Mujer ;58,23;0,004;57,34;59,11;0,77;11.631;19.428;;;;;;;;
;2020;Nacional ;62,89;0,006;61,80;63,99;0,89;11.914;19.454;;;;;;;;
;;Urbana ;67,74;0,008;66,24;69,25;1,13;5.242;7.470;;;;;;;;
;;Rural ;52,39;0,006;51,13;53,65;1,23;6.672;11.984;;;;;;;;
;;Hombre ;65,19;0,007;63,76;66,61;1,11;6.073;9.570;;;;;;;;
;;Mujer ;60,69;0,007;59,38;62,00;1,10;5.841;9.884;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
