,,,,,,,,,,,
,Porcentaje de mujeres que han vivido algún tipo de violencia de género  en el ámbito familiar,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,20.3%,0.005,0.192,0.213,0.026,,,,
,,Urbana ,19.2%,0.006,0.179,0.204,0.033,,,,
,,Rural ,23.0%,0.009,0.212,0.249,0.041,,,,
,,Sierra,24.1%,0.008,0.226,0.257,0.033,,,,
,,Costa ,15.8%,0.008,0.143,0.173,0.048,,,,
,,Amazonía,28.5%,0.011,0.264,0.306,0.038,,,,
,,Insular,14.1%,0.018,0.106,0.175,0.125,,,,
,,Azuay,28.3%,0.023,0.238,0.329,0.082,,,,
,,Bolívar,13.8%,0.022,0.094,0.181,0.162,,,,
,,Cañar,30.1%,0.025,0.253,0.350,0.083,,,,
,,Carchi,17.4%,0.019,0.137,0.212,0.109,,,,
,,Cotopaxi,27.3%,0.029,0.217,0.329,0.105,,,,
,,Chimborazo,17.7%,0.026,0.127,0.228,0.145,,,,
,,El Oro,19.8%,0.020,0.160,0.236,0.099,,,,
,,Esmeraldas,17.3%,0.016,0.141,0.204,0.094,,,,
,,Guayas,17.6%,0.013,0.151,0.201,0.073,,,,
,,Imbabura,32.9%,0.023,0.283,0.375,0.071,,,,
,,Loja,19.2%,0.018,0.156,0.228,0.095,,,,
,,Los Rios,8.4%,0.012,0.061,0.108,0.139,,,,
,,Manabí,12.8%,0.015,0.097,0.158,0.122,,,,
,,Morona Santiago,31.4%,0.025,0.265,0.362,0.079,,,,
,,Napo,39.6%,0.035,0.328,0.463,0.088,,,,
,,Pastaza,42.1%,0.030,0.362,0.479,0.071,,,,
,,Pichincha,23.3%,0.015,0.203,0.263,0.066,,,,
,,Tungurahua,27.6%,0.022,0.232,0.320,0.081,,,,
,,Zamora Chinchipe,27.4%,0.027,0.221,0.328,0.099,,,,
,,Galápagos,14.1%,0.018,0.106,0.175,0.125,,,,
,,Sucumbíos,22.8%,0.023,0.183,0.274,0.102,,,,
,,Orellana,13.7%,0.018,0.102,0.172,0.130,,,,
,,Santo Domingo de los Tsáchilas,20.9%,0.024,0.161,0.257,0.117,,,,
,,Santa Elena,15.2%,0.013,0.126,0.177,0.085,,,,
,,,,,,,,,,,
