,,,,,,,,,,,
,Porcentaje de mujeres que han vivido algún tipo de violencia de género ,,,,,,,,,,
,,,,,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
",,,,
,2019,Nacional ,64.9%,0.007,0.635,0.663,0.011,,,,
,,Urbana ,65.7%,0.009,0.640,0.674,0.014,,,,
,,Rural ,62.8%,0.012,0.605,0.650,0.018,,,,
,,Sierra,69.6%,0.009,0.678,0.713,0.013,,,,
,,Costa ,59.9%,0.012,0.575,0.622,0.020,,,,
,,Amazonía,70.5%,0.011,0.684,0.726,0.015,,,,
,,Insular,55.7%,0.030,0.499,0.615,0.053,,,,
,,Azuay,79.2%,0.020,0.753,0.831,0.025,,,,
,,Bolívar,48.4%,0.027,0.431,0.537,0.056,,,,
,,Cañar,74.9%,0.026,0.698,0.800,0.035,,,,
,,Carchi,61.9%,0.026,0.569,0.669,0.041,,,,
,,Cotopaxi,64.3%,0.036,0.571,0.714,0.057,,,,
,,Chimborazo,51.9%,0.030,0.461,0.577,0.057,,,,
,,El Oro,70.2%,0.020,0.663,0.741,0.028,,,,
,,Esmeraldas,68.2%,0.020,0.643,0.721,0.029,,,,
,,Guayas,63.1%,0.019,0.594,0.669,0.030,,,,
,,Imbabura,73.6%,0.022,0.693,0.779,0.030,,,,
,,Loja,67.0%,0.021,0.628,0.712,0.032,,,,
,,Los Rios,50.3%,0.031,0.442,0.564,0.062,,,,
,,Manabí,49.7%,0.030,0.437,0.556,0.061,,,,
,,Morona Santiago,78.9%,0.023,0.744,0.833,0.029,,,,
,,Napo,77.7%,0.025,0.729,0.825,0.032,,,,
,,Pastaza,73.3%,0.027,0.681,0.786,0.037,,,,
,,Pichincha,71.6%,0.017,0.683,0.749,0.024,,,,
,,Tungurahua,70.5%,0.025,0.655,0.754,0.036,,,,
,,Zamora Chinchipe,72.0%,0.028,0.664,0.775,0.039,,,,
,,Galápagos,55.7%,0.030,0.499,0.615,0.053,,,,
,,Sucumbíos,66.3%,0.027,0.610,0.717,0.041,,,,
,,Orellana,56.5%,0.022,0.522,0.608,0.039,,,,
,,Santo Domingo de los Tsáchilas,68.3%,0.026,0.631,0.734,0.039,,,,
,,Santa Elena,53.5%,0.019,0.497,0.573,0.036,,,,
,,,,,,,,,,,
