,,,,,,,
,Porcentaje de mujeres que han vivido violencia sexual  en el ámbito educativo,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
","Error estándar 
","Límite inferior
","Límite superior 
","Coeficiente de variación
"
,2019,Nacional ,7.0%,0.004,0.062,0.078,0.059
,,Urbana ,7.7%,0.005,0.067,0.087,0.068
,,Rural ,5.2%,0.006,0.040,0.064,0.117
,,Sierra,8.4%,0.006,0.073,0.096,0.070
,,Costa ,5.8%,0.006,0.046,0.070,0.109
,,Amazonía,6.3%,0.006,0.052,0.074,0.091
,,Insular,3.8%,0.010,0.018,0.058,0.275
,,Azuay,9.6%,0.015,0.066,0.126,0.159
,,Bolívar,2.9%,0.009,0.012,0.046,0.306
,,Cañar,6.1%,0.011,0.038,0.083,0.188
,,Carchi,3.7%,0.011,0.016,0.058,0.284
,,Cotopaxi,5.5%,0.013,0.029,0.081,0.239
,,Chimborazo,3.9%,0.015,0.010,0.068,0.383
,,El Oro,6.2%,0.011,0.041,0.084,0.178
,,Esmeraldas,6.8%,0.011,0.046,0.090,0.165
,,Guayas,7.2%,0.011,0.051,0.093,0.147
,,Imbabura,10.1%,0.018,0.065,0.137,0.181
,,Loja,6.7%,0.012,0.043,0.091,0.181
,,Los Rios,2.4%,0.007,0.011,0.038,0.291
,,Manabí,3.5%,0.014,0.007,0.063,0.411
,,Morona Santiago,7.1%,0.015,0.041,0.101,0.212
,,Napo,3.2%,0.009,0.013,0.050,0.298
,,Pastaza,7.5%,0.015,0.044,0.105,0.207
,,Pichincha,10.3%,0.012,0.079,0.127,0.119
,,Tungurahua,7.6%,0.012,0.052,0.100,0.160
,,Zamora Chinchipe,8.2%,0.017,0.050,0.115,0.202
,,Galápagos,3.8%,0.010,0.018,0.058,0.275
,,Sucumbíos,7.3%,0.014,0.045,0.100,0.193
,,Orellana,4.3%,0.010,0.024,0.061,0.223
,,Santo Domingo de los Tsáchilas,6.6%,0.013,0.041,0.091,0.193
,,Santa Elena,3.2%,0.007,0.018,0.047,0.227
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
