,,,,,,,
,Porcentaje de mujeres que han vivido violencia sexual  en el ámbito laboral,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
","Error estándar 
","Límite inferior
","Límite superior 
","Coeficiente de variación
"
,2019,Nacional ,6.8%,0.005,0.057,0.079,0.080
,,Urbana ,7.8%,0.007,0.065,0.092,0.088
,,Rural ,3.8%,0.007,0.025,0.052,0.176
,,Sierra,8.1%,0.008,0.065,0.097,0.101
,,Costa ,5.9%,0.008,0.043,0.074,0.135
,,Amazonía,5.9%,0.009,0.041,0.076,0.155
,,Insular,3.8%,0.017,0.005,0.071,0.439
,,Azuay,8.9%,0.023,0.045,0.134,0.256
,,Bolívar,0.9%,0.009,-0.009,0.027,1.001
,,Cañar,5.2%,0.020,0.013,0.091,0.386
,,Carchi,2.2%,0.011,-0.001,0.044,0.531
,,Cotopaxi,1.1%,0.007,-0.002,0.025,0.617
,,Chimborazo,1.5%,0.007,0.001,0.029,0.477
,,El Oro,7.6%,0.020,0.036,0.116,0.266
,,Esmeraldas,4.3%,0.013,0.019,0.068,0.291
,,Guayas,8.0%,0.014,0.052,0.108,0.180
,,Imbabura,9.3%,0.020,0.053,0.132,0.216
,,Loja,9.8%,0.022,0.054,0.142,0.229
,,Los Rios,2.6%,0.008,0.010,0.043,0.316
,,Manabí,1.8%,0.010,0.000,0.037,0.521
,,Morona Santiago,7.1%,0.026,0.019,0.122,0.371
,,Napo,4.1%,0.020,0.002,0.079,0.483
,,Pastaza,8.0%,0.026,0.028,0.131,0.329
,,Pichincha,10.9%,0.016,0.077,0.141,0.149
,,Tungurahua,4.7%,0.016,0.016,0.079,0.334
,,Zamora Chinchipe,6.1%,0.018,0.026,0.095,0.290
,,Galápagos,3.8%,0.017,0.005,0.071,0.439
,,Sucumbíos,6.3%,0.022,0.021,0.106,0.344
,,Orellana,3.6%,0.012,0.012,0.061,0.340
,,Santo Domingo de los Tsáchilas,6.3%,0.015,0.033,0.092,0.242
,,Santa Elena,4.2%,0.009,0.024,0.060,0.216
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
