,,,,,,,
,Porcentaje de mujeres  que han vivido violencia  económica y patrimonial ,,,,,,
,,,,,,,
,Período ,Desagregación,"Estimación
(Porcentaje)","Error estándar 
","Límite inferior
(Porcentaje)","Límite superior 
(Porcentaje)","Coeficiente de variación
"
,2019,Nacional ,16.4%,0.005,0.154,0.173,0.029
,,Urbana ,17.0%,0.006,0.158,0.182,0.036
,,Rural ,14.9%,0.007,0.135,0.162,0.047
,,Sierra,18.1%,0.006,0.169,0.194,0.035
,,Costa ,14.6%,0.008,0.131,0.161,0.053
,,Amazonía,17.9%,0.009,0.162,0.195,0.048
,,Insular,10.2%,0.016,0.071,0.133,0.157
,,Azuay,23.2%,0.018,0.197,0.266,0.076
,,Bolívar,12.3%,0.015,0.095,0.151,0.118
,,Cañar,19.6%,0.021,0.155,0.236,0.106
,,Carchi,14.0%,0.020,0.101,0.179,0.142
,,Cotopaxi,13.6%,0.017,0.103,0.169,0.123
,,Chimborazo,12.8%,0.023,0.083,0.172,0.178
,,El Oro,17.6%,0.022,0.133,0.220,0.126
,,Esmeraldas,16.8%,0.019,0.131,0.204,0.111
,,Guayas,17.2%,0.013,0.146,0.198,0.077
,,Imbabura,17.8%,0.017,0.145,0.211,0.094
,,Loja,15.8%,0.015,0.130,0.187,0.092
,,Los Rios,10.0%,0.012,0.076,0.124,0.123
,,Manabí,9.0%,0.011,0.068,0.112,0.126
,,Morona Santiago,23.0%,0.021,0.189,0.271,0.091
,,Napo,12.6%,0.018,0.090,0.162,0.146
,,Pastaza,17.0%,0.016,0.138,0.201,0.095
,,Pichincha,19.6%,0.012,0.172,0.220,0.063
,,Tungurahua,18.1%,0.015,0.151,0.210,0.083
,,Zamora Chinchipe,20.8%,0.020,0.168,0.248,0.098
,,Galápagos,10.2%,0.016,0.071,0.133,0.157
,,Sucumbíos,17.8%,0.022,0.135,0.221,0.123
,,Orellana,14.6%,0.017,0.113,0.179,0.114
,,Santo Domingo de los Tsáchilas,14.6%,0.021,0.106,0.187,0.141
,,Santa Elena,8.7%,0.009,0.070,0.105,0.102
,,,,,,,
